state,name,amount
TN,James,62520
TN,Michael,56388
TN,William,50117
TN,Christopher,43909
TN,John,41136
TX,Michael,185725
TX,David,157394
TX,Christopher,147167
TX,James,133929
TX,John,132500
UT,Michael,22790
UT,David,18698
UT,Joshua,14436
UT,Matthew,14061
UT,James,13845
VA,Michael,70863
VA,James,60113
VA,Christopher,53516
VA,William,53459
VA,David,50324
VT,Michael,5974
VT,Christopher,4395
VT,David,4096
VT,John,3804
VT,Matthew,3720
WA,Michael,48146
WA,David,37449
WA,Christopher,29839
WA,James,29835
WA,John,27615
WI,Michael,62621
WI,David,42812
WI,James,36155
WI,John,35512
WI,Daniel,34549
WV,Michael,22625
WV,James,22311
WV,David,18781
WV,John,17306
WV,Robert,16187
WY,Michael,5095
WY,David,3474
WY,James,3457
WY,John,3259
WY,Robert,3173
SC,James,42719
SC,Michael,36107
SC,William,34554
SC,John,29595
SC,Christopher,29248
SD,Michael,8285
SD,David,5699
SD,James,4922
SD,John,4689
SD,Matthew,4633
NH,Michael,12598
NH,Christopher,8679
NH,Matthew,8645
NH,David,8127
NH,James,7191
NJ,Michael,125935
NJ,John,80259
NJ,Robert,69992
NJ,Joseph,67762
NJ,David,66677
NM,Michael,17214
NM,David,13051
NM,Christopher,11584
NM,Robert,10759
NM,James,10230
NV,Michael,12458
NV,Christopher,9061
NV,David,8541
NV,Anthony,7858
NV,Daniel,7631
NY,Michael,294429
NY,John,183016
NY,David,168094
NY,Joseph,158545
NY,Christopher,157448
OH,Michael,157661
OH,David,112274
OH,James,109992
OH,John,99361
OH,Robert,96676
OK,Michael,33915
OK,James,26165
OK,David,24061
OK,Christopher,23959
OK,John,21540
OR,Michael,27635
OR,David,22025
OR,Christopher,17930
OR,James,17191
OR,Matthew,15939
PA,Michael,180134
PA,John,125513
PA,David,117670
PA,Robert,109115
PA,James,108773
RI,Michael,17541
RI,David,11606
RI,John,11096
RI,Robert,10038
RI,Christopher,9271
MD,Michael,58808
MD,John,39991
MD,James,39950
MD,David,39087
MD,Robert,35005
ME,Michael,13935
ME,David,9654
ME,Christopher,9360
ME,James,8672
ME,John,8284
MI,Michael,131883
MI,David,92184
MI,James,81684
MI,Robert,77770
MI,John,73243
MN,Michael,54657
MN,David,37629
MN,Matthew,33661
MN,John,33220
MN,Daniel,31909
MO,Michael,65399
MO,James,47869
MO,David,44766
MO,John,44313
MO,Christopher,40657
MS,James,36152
MS,Michael,28270
MS,John,24937
MS,William,24665
MS,Christopher,23451
MT,Michael,8754
MT,James,5843
MT,John,5760
MT,David,5714
MT,Robert,5472
NC,Michael,74240
NC,James,72038
NC,William,64593
NC,Christopher,60695
NC,David,53909
ND,Michael,8412
ND,David,5499
ND,James,4700
ND,Matthew,4667
ND,Christopher,4512
NE,Michael,20048
NE,David,13530
NE,John,12195
NE,James,11988
NE,Matthew,11758
GA,Michael,73383
GA,James,71307
GA,William,63286
GA,Christopher,61312
GA,John,53753
HI,Michael,9775
HI,David,7162
HI,Christopher,6442
HI,John,6258
HI,James,6161
IA,Michael,33592
IA,David,24559
IA,Matthew,21203
IA,James,19531
IA,John,19404
ID,Michael,10593
ID,David,8230
ID,James,6831
ID,Robert,6374
ID,Matthew,6160
IL,Michael,174028
IL,David,110005
IL,John,104419
IL,James,103348
IL,Robert,92075
IN,Michael,72245
IN,David,53925
IN,James,52603
IN,John,45253
IN,Robert,42507
KS,Michael,27107
KS,David,19536
KS,James,17854
KS,Christopher,17526
KS,John,17404
KY,James,51030
KY,Michael,44922
KY,William,37932
KY,David,34641
KY,Christopher,33918
LA,Michael,48006
LA,John,36848
LA,James,36620
LA,Christopher,35890
LA,David,30961
MA,Michael,103906
MA,John,71985
MA,David,64170
MA,James,57371
MA,Christopher,56525
AK,Michael,6693
AK,David,4921
AK,James,4911
AK,John,4690
AK,Christopher,4360
AL,James,50232
AL,Michael,44321
AL,William,40181
AL,Christopher,36777
AL,John,36537
AR,James,25423
AR,Michael,24541
AR,John,18295
AR,Christopher,18137
AR,David,17173
AZ,Michael,40129
AZ,David,30050
AZ,Christopher,27007
AZ,Daniel,26221
AZ,Robert,22473
CA,Michael,327638
CA,David,271791
CA,Daniel,221053
CA,Christopher,211223
CA,Robert,188062
CO,Michael,37908
CO,David,27086
CO,Christopher,24716
CO,John,22573
CO,James,22442
CT,Michael,50262
CT,John,32226
CT,David,31236
CT,Christopher,29819
CT,Robert,26987
DE,Michael,10234
DE,John,7406
DE,James,6956
DE,David,6708
DE,Robert,6530
FL,Michael,125140
FL,Christopher,89433
FL,James,85071
FL,David,81941
FL,John,74335
